Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Alan ,NFCDCH-02-EAV19AJFE6MXG1HCHQD0RQEQNAN9XM,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-EAHJJYG2VWX7F8Q3P573YP3DK7N7CC,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-EA629U7CYG4V5JJ80FGG20Y4W571LM,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-E9FGZ9Q90KT5GC54WXQPQVPAUC1MAN,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-E7Z928V38N4PQXDN15PT9LYXFTMHVH,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-SAMSUSM-G900M-4445-0C2AAD39F2E6F5A956B0089BC8928C9D00F543A80232A667C44FBAEFC93931357,Android DefaultWidevineL3Phone Android Phone (samsung_SM-G900M),,,,,,,,,
Alan ,NFCDCH-02-E4Z6JUURAVHJ8XW4KCP13XUAAWDN3C,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-D1M7FKWAAVTX34K61R1400TDL4HJEY,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-E2QR7Y9YQWCXCC7T8M346K94V58H6H,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-MOTORMOTO=G==4=-4445-36FE30AE11348CD7F67A804593E48DF5F2AF375C777AEE296EC952227F4E0F32,Android DefaultWidevineL3Phone Android Phone (motorola_Moto G (4)),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-K430-4445-03748A371C7BA1A4C0683D61798B6F27E91D84FC51D3C57741F6723F8C918E5EF,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-SAMSUSM-G900M-4445-BE405668CE62E1736130259F9F9FB84A5508F532CF4902CD8C9CE6BF453A02AC,Android DefaultWidevineL3Phone Android Phone (samsung_SM-G900M),,,,,,,,,
Alan ,NFCDCH-02-DZG744FQH3H5TFXYGJP2JUFMK93V1H,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-CX47K25D4LM6UDEL9R79D89HLW05MX,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-SAMSUGT-S7390LS-2B532F649AB55785E9613E42D3705B760D9CF4F9FA75F5A5B6FD1B2DA11437A9,Mobile,,,,,,,,,
Alan ,NFCDCH-02-DD3Y09UUKNLGN1HL3L0E1MPNYJP91L,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-11-09T18:14:22.000Z
Ale ,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,2022-11-09T18:14:22.000Z
Ale ,GOOGCAP0010000000000000003811793,Google Chromecast V5 Streaming Stick,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2022-08-15T17:00:30.000Z
Alan ,GOOGCAP0010000000000000003811793,Google Chromecast V5 Streaming Stick,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,,,,,2022-08-15T17:00:30.000Z
Casa,GOOGCAP0010000000000000003811793,Google Chromecast V5 Streaming Stick,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,,,,,2022-08-15T17:00:30.000Z
Ju,GOOGCAP0010000000000000003811793,Google Chromecast V5 Streaming Stick,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,,,,,2022-08-15T17:00:30.000Z
Adilan,GOOGCAP0010000000000000003811793,Google Chromecast V5 Streaming Stick,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,2020-01-20T20:40:09.327Z,2022-08-11T22:45:18.668Z,,,,,2022-08-15T17:00:30.000Z
Ale ,NFAPPL-02-IPHONE12=1-F68CDDA3E2A6709F50B86CE961DCFE053B3DCE1790ED16BDD2DF505505FD8195,Apple iPhone 11,2021-01-11T04:08:38.032Z,2022-08-11T22:44:53.040Z,2021-01-11T04:08:38.032Z,2022-08-11T22:44:53.040Z,2021-01-11T04:08:38.032Z,2022-08-11T22:44:53.040Z,2021-01-11T04:08:38.032Z,2022-08-11T22:44:53.040Z,2022-08-15T17:00:31.000Z
Adilan,NFANDROID1-PRV-P-L3-SAMSUSM-J260M-4445-0D5A956675C18BFF1BC7FFA707148C5F1E10E1120E7F421FCB0AD096FB3887033,Android DefaultWidevineL3Phone Android Phone,2022-04-20T23:01:42.320Z,2022-08-09T02:10:45.216Z,2022-04-20T23:01:42.320Z,2022-08-09T02:10:45.216Z,2022-04-20T23:01:42.320Z,2022-08-09T02:10:45.216Z,2022-04-20T23:01:42.320Z,2022-08-09T02:10:45.216Z,2022-08-15T17:00:30.000Z
Alan ,NFCDOP-01-JCD9E163EGH2DXEV9A7YPQPPAKE015,Netflix Opera Other,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-08-15T17:00:30.000Z
Ale ,GOOGCAP0010000000000000017514816,Google Chromecast V5 Streaming Stick,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-08-15T17:00:30.000Z
Casa,GOOGCAP0010000000000000017514816,Google Chromecast V5 Streaming Stick,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,,,,,2022-08-15T17:00:30.000Z
Adilan,GOOGCAP0010000000000000017514816,Google Chromecast V5 Streaming Stick,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,,,,,2022-08-15T17:00:30.000Z
