Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2018-08-27,2018-08-27,2018-09-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-09-27
2018-08-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-08-01,,,payment_transaction,CC,,,,,BRL,,1.0,REVERSAL,APPROVED,,BR,
2018-08-01,,,payment_transaction,CC,,,,,BRL,,1.0,VALIDATE,APPROVED,,BR,
2018-07-27,2018-07-27,2018-08-26,SUBSCRIPTION,MASTERCARD,,,CIELO,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2018-08-27
2018-07-27,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2018-06-27,2018-06-27,2018-07-26,SUBSCRIPTION,MASTERCARD,,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2018-07-27
2018-06-27,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2018-05-27,2018-05-27,2018-06-26,SUBSCRIPTION,MASTERCARD,,,CIELO,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2018-06-27
2018-05-27,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
2018-04-27,2018-04-27,2018-05-26,SUBSCRIPTION,MASTERCARD,,,ADYEN,37.9,BRL,4.26,37.9,SALE,APPROVED,SETTLED,BR,2018-05-27
2018-04-27,,,payment_transaction,CC,,,,,BRL,,37.9,SALE,APPROVED,,BR,
